factID,yearAD,monthkey,monthEN,provinceEN,inflection
69,2015,1,January,Ranong,98
146,2015,2,February,Ranong,104
223,2015,3,March,Ranong,201
300,2015,4,April,Ranong,165
377,2015,5,May,Ranong,333
454,2015,6,June,Ranong,1242
531,2015,7,July,Ranong,1611
608,2015,8,August,Ranong,1184
685,2015,9,September,Ranong,390
762,2015,10,October,Ranong,165
839,2015,11,November,Ranong,282
916,2015,12,December,Ranong,0
993,2016,1,January,Ranong,247
1070,2016,2,February,Ranong,226
1147,2016,3,March,Ranong,113
1224,2016,4,April,Ranong,139
1301,2016,5,May,Ranong,72
1378,2016,6,June,Ranong,196
1455,2016,7,July,Ranong,336
1532,2016,8,August,Ranong,267
1609,2016,9,September,Ranong,104
1686,2016,10,October,Ranong,106
1763,2016,11,November,Ranong,114
1840,2016,12,December,Ranong,0
1917,2017,1,January,Ranong,168
1994,2017,2,February,Ranong,18
2071,2017,3,March,Ranong,139
2148,2017,4,April,Ranong,138
2225,2017,5,May,Ranong,164
2302,2017,6,June,Ranong,205
2379,2017,7,July,Ranong,183
2456,2017,8,August,Ranong,348
2533,2017,9,September,Ranong,138
2610,2017,11,November,Ranong,126
2687,2017,12,December,Ranong,0
2764,2018,1,January,Ranong,108
2841,2018,2,February,Ranong,218
2918,2018,3,March,Ranong,96
2995,2018,4,April,Ranong,273
3072,2018,5,May,Ranong,823
3149,2018,6,June,Ranong,438
3226,2018,7,July,Ranong,363
3303,2018,8,August,Ranong,369
3380,2018,9,September,Ranong,215
3457,2018,10,October,Ranong,252
3534,2018,11,November,Ranong,274
3611,2018,12,December,Ranong,0
3688,2019,1,January,Ranong,341
3765,2019,2,February,Ranong,432
3842,2019,3,March,Ranong,324
3919,2019,4,April,Ranong,320
3996,2019,5,May,Ranong,390
4073,2019,6,June,Ranong,363
4150,2019,7,July,Ranong,728
4227,2019,8,August,Ranong,286
4304,2019,9,September,Ranong,212
4381,2019,10,October,Ranong,293
4458,2019,11,November,Ranong,354
4535,2019,12,December,Ranong,144
4612,2020,1,January,Ranong,174
4689,2020,2,February,Ranong,72
4766,2020,3,March,Ranong,156
4843,2020,4,April,Ranong,144
4920,2020,5,May,Ranong,486
4997,2020,6,June,Ranong,504
5074,2020,7,July,Ranong,662
5151,2020,8,August,Ranong,417
5228,2020,9,September,Ranong,252
5305,2020,10,October,Ranong,131
5382,2020,11,November,Ranong,156
5459,2020,12,December,Ranong,78
